close,date
2180.89,2016-08-08
2181.74,2016-08-09
2175.49,2016-08-10
2185.79,2016-08-11
2184.05,2016-08-12
2190.15,2016-08-15
2178.15,2016-08-16
2182.22,2016-08-17
2187.02,2016-08-18
2183.87,2016-08-19
2182.64,2016-08-22
2186.9,2016-08-23
2175.44,2016-08-24
2172.47,2016-08-25
2169.04,2016-08-26
2180.38,2016-08-29
2176.12,2016-08-30
2170.95,2016-08-31
2170.86,2016-09-01
2179.98,2016-09-02
2179.98,2016-09-05
2186.48,2016-09-06
2186.16,2016-09-07
2181.3,2016-09-08
2127.81,2016-09-09
2159.04,2016-09-12
2127.02,2016-09-13
2125.77,2016-09-14
2139.12,2016-09-19
2139.76,2016-09-20
2163.12,2016-09-21
2177.18,2016-09-22
2164.69,2016-09-23
2146.1,2016-09-26
2159.93,2016-09-27
2171.37,2016-09-28
2151.13,2016-09-29
2168.27,2016-09-30
2163.66,2016-10-10
2136.73,2016-10-11
2139.18,2016-10-12
2132.55,2016-10-13
2132.98,2016-10-14
2126.5,2016-10-17
2139.6,2016-10-18
2144.29,2016-10-19
2141.34,2016-10-20
2141.16,2016-10-21
2151.33,2016-10-24
2143.16,2016-10-25
2139.43,2016-10-26
2133.04,2016-10-27
2126.41,2016-10-28
2126.15,2016-10-31
2111.72,2016-11-01
2097.94,2016-11-02
2088.66,2016-11-03
2085.18,2016-11-04
2131.52,2016-11-07
2139.56,2016-11-08
2163.26,2016-11-09
2167.48,2016-11-10
2164.45,2016-11-11
2164.2,2016-11-14
2180.39,2016-11-15
2176.94,2016-11-16
2187.12,2016-11-17
2181.9,2016-11-18
2198.18,2016-11-21
2202.94,2016-11-22
2204.72,2016-11-23
2204.72,2016-11-24
2213.35,2016-11-25
2201.72,2016-11-28
2204.66,2016-11-29
2198.81,2016-11-30
2191.08,2016-12-01
2191.95,2016-12-02
2204.71,2016-12-05
2212.23,2016-12-06
2241.35,2016-12-07
2246.19,2016-12-08
2259.53,2016-12-09
2256.96,2016-12-12
2271.72,2016-12-13
2253.28,2016-12-14
2262.03,2016-12-15
2258.07,2016-12-16
2262.53,2016-12-19
2270.76,2016-12-20
2265.18,2016-12-21
2260.96,2016-12-22
2263.79,2016-12-23
2263.79,2016-12-26
2268.88,2016-12-27
2249.92,2016-12-28
2249.26,2016-12-29
2238.83,2016-12-30
2257.83,2017-01-03
2270.75,2017-01-04
2269.0,2017-01-05
2276.98,2017-01-06
2268.9,2017-01-09
2268.9,2017-01-10
2275.32,2017-01-11
2270.44,2017-01-12
2274.64,2017-01-13
2274.64,2017-01-16
2267.89,2017-01-17
2271.89,2017-01-18
2263.69,2017-01-19
2271.31,2017-01-20
2265.2,2017-01-23
2280.07,2017-01-24
2298.37,2017-01-25
2296.68,2017-01-26
2297.42,2017-02-03
2292.56,2017-02-06
2293.08,2017-02-07
2294.67,2017-02-08
2307.87,2017-02-09
2316.1,2017-02-10
2328.25,2017-02-13
2337.58,2017-02-14
2349.25,2017-02-15
2347.22,2017-02-16
2351.16,2017-02-17
2351.16,2017-02-20
2365.38,2017-02-21
2362.82,2017-02-22
2363.81,2017-02-23
2367.34,2017-02-24
2369.75,2017-02-27
2363.64,2017-02-28
2395.96,2017-03-01
2381.92,2017-03-02
2383.12,2017-03-03
2375.31,2017-03-06
2368.39,2017-03-07
2362.98,2017-03-08
2364.87,2017-03-09
2372.6,2017-03-10
2373.47,2017-03-13
2365.45,2017-03-14
2385.26,2017-03-15
2381.38,2017-03-16
2378.25,2017-03-17
2373.47,2017-03-20
2344.02,2017-03-21
2348.45,2017-03-22
2345.96,2017-03-23
2343.98,2017-03-24
2341.59,2017-03-27
2341.59,2017-03-28
